lng,lat,visit_time,interest,recommendation_factor_1,recommendation_factor_2,recommendation_factor_3,recommendation_factor_4,near_node,opening_hours
-3.60394348342831,37.1635986275878,34,8,1,0.75,0.5,1,582469169,"['Mo-We 13:30-16:00', 'Mo-We 18:00-23:30']"
-3.5998662,37.1761982,25,5,1,0.75,0.25,0.5,5596791293,['Mo-Su 05:30-22:00']
-3.6053993,37.1769128,46,1,1,0.5,0.5,0.25,7991715838,['Mo-Su 8:00-22:00']
-3.6015434,37.1782035,36,3,0.5,1,0.75,0.5,5596791287,['Mo-Su 06:00-09:00']
-3.58879695081785,37.1799741457056,57,5,1,0.25,0.5,0.25,7492361836,"['Tu-Su 13:00-16:00', 'Tu-Su 20:00-23:59']"
-3.6018414,37.1540154,54,2,1,1,1,0.5,8254460198,['Mo-Su 12:00-23:59']
-3.61616305,37.21041245,23,4,0.5,1,0.75,0.75,7538272307,"['Mo-We 13:30-16:00', 'Mo-We 18:00-23:30']"
-3.63046189237864,37.1977520220935,53,10,0.5,1,1,1,581031391,"['Mo-Th 11:30-17:00', 'Fr-Sa 13:00-19:30']"
-3.6038448,37.1784059,35,3,0.75,1,0.25,0.5,7991732951,['Mo-Fr 08:30-20:30']
-3.63921747870241,37.1976725198418,26,3,0.25,0.5,1,0.25,1590727503,"['Mo-Sa 12:00-23:59', 'Tu-Su 00:00-02:00']"
-3.60655746606397,37.1626034292935,27,8,0.5,0.25,1,0.75,3772053053,['Mo-Su 7:00-14:00']
-3.5936546,37.1780772,40,8,0.75,1,0.25,0.75,290980404,['Mo-Su 05:30-22:00']
-3.6182128,37.1879946,46,1,0.75,0.5,0.5,1,7702334657,['Mo-Su 12:00-23:59']
-3.58476631174594,37.1760292023593,52,5,0.5,1,0.75,0.25,5972611202,['Mo-Su 05:30-22:00']
-3.59880475944494,37.1648926492871,20,10,0.75,1,0.25,0.25,8068585360,['Mo-Su 8:00-22:00']
-3.5850565,37.1611849,56,8,1,0.75,0.75,0.25,7861010125,['Mo-Su 06:00-09:00']
-3.5932169,37.1779643,32,3,0.5,1,0.75,0.75,533647924,['Mo-Su 05:30-22:00']
-3.60916269366643,37.1683139565946,24,9,1,0.75,0.75,0.5,7395347767,['Mo-Su 05:30-22:00']
-3.604308,37.1872766,24,1,0.25,0.75,0.5,1,7720526907,['24/7']
-3.6027883,37.1746572,31,3,1,0.5,0.25,0.25,290969230,['Mo-Fr 09:00-14:00']
-3.60907443670105,37.1892290339771,53,3,0.25,1,0.25,0.5,4061855018,['Mo-Fr 09:00-14:00']
-3.594403,37.1566544,45,6,0.75,1,1,1,1426357270,['Sa 09:30-14:00']
-3.6050995,37.1726275,45,8,0.25,0.75,0.75,1,7947657751,['Mo-Su 06:00-09:00']
-3.6057958,37.1721285,21,1,0.75,1,0.5,1,7947657745,"['Tu-Su 13:00-16:00', 'Tu-Su 20:00-23:59']"
-3.60441,37.1718341,42,5,0.5,1,1,0.5,7950305408,['Mo-Fr 09:00-14:00']
-3.5985235,37.1772878,44,5,0.5,0.25,0.25,1,8163549224,"['Mo-Th 11:30-17:00', 'Fr-Sa 13:00-19:30']"
-3.6030746,37.1787575,28,3,0.5,1,0.5,0.75,7991732981,['Mo-We 7:00-14:00']
-3.596128,37.1726272,26,10,0.75,0.75,1,0.5,1704337622,"['Mo-Th 11:30-17:00', 'Fr-Sa 13:00-19:30']"
-3.59996274571616,37.1731078192708,41,1,1,0.5,0.5,0.5,5997713788,['Mo-Su 05:30-22:00']
-3.5958981,37.1766428,47,8,0.75,1,0.25,0.75,8167227297,['Mo-Fr 09:00-14:00']
-3.6036013,37.1733955,38,1,1,1,0.75,0.75,8015884778,"['Mo-We 13:30-16:00', 'Mo-We 18:00-23:30']"
-3.5962638,37.1770846,50,2,0.25,1,0.5,0.5,1074120945,"['Mo-We 13:30-16:00', 'Mo-We 18:00-23:30']"
-3.6128539,37.1878252,25,5,1,0.75,0.5,0.5,6181599668,['Mo-Su 12:00-23:59']
-3.6059283,37.1679584,50,4,1,1,0.25,0.25,7416732487,['Mo-Sa 10:00-14:00']
-3.5925353,37.1785175,51,1,1,0.5,1,0.5,7622575483,['24/7']
-3.6072498,37.1745191,29,9,1,0.75,0.75,0.5,7822884562,"['Mo-Fr 13:30-18:00', 'Sa-Su 09:00-11:00']"
-3.6062157,37.1738664,28,9,0.5,1,0.25,0.5,5647592925,"['Mo-Sa 12:00-23:59', 'Tu-Su 00:00-02:00']"
-3.598956,37.1681862,37,3,0.5,0.75,1,0.25,7931143250,['Mo-Fr 09:00-14:00']
-3.5837864,37.1818414,38,7,0.5,0.75,0.75,1,53276821,['Mo-Fr 08:30-20:30']
-3.61179889246275,37.1883742413777,53,7,1,0.25,0.5,0.75,6004518962,['Mo-Su 7:00-14:00']
-3.6099542,37.155211,56,10,0.5,1,0.25,0.5,1429801684,['Mo-Su 06:00-09:00']
-3.59674586192467,37.1984880533496,50,5,0.75,0.25,1,0.5,1596605671,['Mo-Su 7:00-14:00']
-3.60253439017467,37.1773911468652,39,9,0.75,0.75,1,0.5,267341159,['Mo-Fr 08:30-20:30']
-3.5940732,37.1614905,29,3,1,0.25,0.25,1,8061990653,"['Mo-Fr 13:30-18:00', 'Sa-Su 09:00-11:00']"
-3.58613332913118,37.1659017748881,31,7,0.75,0.25,1,0.25,1672387540,['Mo-Su 05:30-22:00']
-3.5965361,37.177022,56,7,1,0.5,0.25,0.75,1074121329,['Mo-Su 05:30-22:00']
-3.5993067,37.1730106,56,2,0.5,0.5,1,0.5,8107928646,"['Tu-Su 13:00-16:00', 'Tu-Su 20:00-23:59']"
-3.5949831,37.1665443,43,5,0.75,1,0.75,0.5,8075768116,['Mo-Su 8:00-22:00']
-3.5978761,37.1774842,54,5,0.25,0.75,1,1,8164137267,"['Tu-Su 13:00-16:00', 'Tu-Su 20:00-23:59']"
-3.5870642,37.1742781,22,10,1,0.25,0.5,0.25,8034991692,['Mo-Fr 08:30-20:30']
-3.604309,37.1780012,55,4,1,0.75,1,0.75,7991732910,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']"
-3.6030157,37.1716311,21,6,0.75,0.5,1,0.75,7958703261,['Mo-Sa 10:00-14:00']
-3.6049582,37.1773662,44,9,1,1,0.75,0.75,1450095019,['24/7']
-3.60810520263576,37.1644519941872,27,3,0.25,0.75,0.25,1,5648584788,['Mo-We 7:00-14:00']
-3.62537743130327,37.1914386563249,36,3,0.5,0.5,1,1,1593190913,"['Tu-Su 13:00-16:00', 'Tu-Su 20:00-23:59']"
-3.5947699,37.1619003,59,4,0.25,1,0.5,0.25,5608023279,['Mo-Fr 08:30-20:30']
-3.6005171,37.1759394,26,3,1,0.5,0.25,1,5594245650,['Mo-Sa 10:00-14:00']
-3.6001959,37.1755401,26,1,1,0.5,0.25,0.25,5594245653,['Mo-Fr 09:00-14:00']
-3.5960181,37.1734603,25,4,0.5,0.75,1,0.75,8233959365,['24/7']
-3.5964644,37.1756484,52,9,0.5,1,1,0.5,8167224775,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']"
-3.6094694,37.1905376,28,4,1,0.25,0.5,1,7736760684,['Mo-Su 06:00-09:00']
-3.59849370090583,37.2024508305407,24,8,0.75,1,0.5,0.75,7515085691,['Sa 09:30-14:00']
-3.5974406,37.1772683,57,4,0.5,0.5,1,0.25,8164137236,['Mo-Sa 10:00-14:00']
-3.6062725,37.1741901,41,7,1,1,0.25,0.25,7947657692,['Mo-Fr 08:30-20:30']
-3.6124785,37.1857353,48,2,0.5,1,0.25,0.25,6223793476,"['We-Th 12:00-17:00', 'We-Th 20:00-23:00']"
-3.59637373588882,37.1841996385777,50,10,0.5,0.25,0.5,1,1708795428,['24/7']
-3.5841253,37.1684081,33,6,0.5,0.5,1,0.5,7893379982,"['Mo-Fr 13:30-18:00', 'Sa-Su 09:00-11:00']"
-3.5978807,37.1781009,21,2,0.25,1,0.25,0.75,8164137475,['Mo-Fr 08:30-20:30']
